,Alopercus pratensis,Anthoxanthum odoratum,Anthyllis vulneraria,Arrhenatherum elatius,Avenula pratensis,Bellis perennis,Brachythecium mildeanum,Bryum c.f. pallescens,Bryum spp.,Calliergonella cupsidata,Campanula rotundifolia,Carex distans,Carex flacca,Carex panicea,Carlina vulgaris,Centaurea nigra,Centaurium littorale,Centaurium pulchellum,Cerastium fontanum,Dactylis glomerata,Dicranella spp.,Equisetum arvense,Equisteum variegatum,Euphrasia agg,Festuca ovina,Festuca rubra,Fissidens dubius,Fissidens exilis,Galium saxatile,Holcus spp.,Holcus lanatus,Homalothecium lutescens,Hypnum cupressiforme,Leontodon hispidus,Leucanthemum vulgare,Linum catharticum,Lotus corniculatus,Lysimachia maritima,Medicago lupulina,Myosotis arvensis,Ononis repens,Pillosella officinarum,Plantago coronopus,Plantago lanceolata,Poa annua,Prunella vulgaris,Pseudoscleropidum purum,Rhytidadelphus squarrosus,Taraxacum agg.,Thymus polytrichus,Trichostomum crispulum,Trifolium campestre,Trifolium dubium,Trifolium pratense,Trifolium repens,Urtica diocia,Zygodon stirtonii
Carnforth_1,0,0,0,1,0,0,0,60,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,16,0,0,0,0,0,42,0,0,60,0,0,5,0,0,0,0,0,33,0,1,0,0,0,60,0,283,60,0,162,0,0,0,0
Carnforth_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,1,0,286,0,0,0,0,0,0,1,7,0,0,118,0,0,0,0
Carnforth_3,0,0,0,0,0,11,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,40,8,0,60,0,0,0,220,0,5,0,0,2,0,0,0,0,0,0,3,159,0,0,0,0,0,0,0
Carnforth_4,0,0,0,0,0,0,0,0,20,120,0,0,24,0,0,0,0,0,0,0,0,0,0,0,55,0,20,0,0,58,3,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Carnforth_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,70,0,160,0,0,0,0,0,0,0,6,2,54,19,0,0,0,30,140,1,0,0,0,0,0,0,7,0
Carnforth_6,27,0,0,0,11,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,23,0,10,0,0,0,0,0,0,0,4,63,0,0,1,0,0,0,20,0,20,0,0,0,0,2,0,0
Carnforth_7,0,0,0,0,0,0,0,50,0,0,0,0,0,0,3,0,0,0,0,0,50,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,110,0,0,0,0,0,0
Carnforth_8,0,0,0,0,0,0,20,0,0,0,0,52,0,0,0,0,0,8,0,0,0,0,0,0,25,0,0,0,0,13,0,0,0,0,0,0,0,80,0,0,0,0,114,0,0,0,20,0,0,0,0,11,0,0,0,0,0
Hodbarrow_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,47,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
Hodbarrow_2,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,69,0,0,0,0,216,30,0,0,0,0,0,0
Hodbarrow_3,0,0,189,0,0,1,0,0,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,46,0,0,0,0,253,60,0,0,0,0,0,0
Hodbarrow_4,0,7,0,0,0,0,0,0,0,0,42,0,0,0,3,0,4,0,1,0,0,10,31,0,0,2,0,0,0,0,18,0,160,0,1,0,0,0,91,0,111,91,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Hodbarrow_5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,5,0,0,0,0,0,0,36,0,44,0,0,0,23,0,0,0,16,6,1,57,0,0,0,2,39,50,20,55,0,0,0,0,0,70,0,0,0,0,0,0
Hodbarrow_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,10
Hodbarrow_7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,1,0,0,10,0,0,0,31,0,33,0,0,0,10,0,0,0,43,0,6,20,0,0,0,0,0,0,29,0,2,0,0,1,0,0,0,0,21,0,0,0
