Sample_Location,X,Y,Gehlenite
Warton_Quadrat_2,347830,470582,1
Warton_Quadrat_3,347783,470676,1
Warton_Quadrat_4,347676,470840,1
Warton_Quadrat_7,347732,470735,1
SM21_C3,347818,470572,1
SM21_C4,347786,470558,1
SM21_C7,347854,470579,1
SM21_C8,347819,470615,1
SM21_C11,347725,470729,1
SM21_C13,347680,470753,1
SM21_C14,347727,470762,1
SM21_C15,347672,470785,1
SM21_C16,347694,470796,1
SM21_C17,347713,470809,1
SM21_C18,347636,470792,1
SM21_C19,347675,470826,1
SM21_C20,347690,470864,1
SM21_C21,347628,470914,1
SM21_C22,347640,470946,1
SM21_C24,347603,470987,1
SM21_C25,347556,471035,1
SM21_C26,347585,471023,1
SM21_C27,347542,471064,1
SM21_C29,347527,471136,1
