Sample_Location,X,Y,Calcite
Quadrat_1,317389,477973,1
Quadrat_5,317327,477940,1
Quadrat_6,317040,478090,1
Quadrat_7,317466,477921,1
SM21_H2,317478,477953,1
SM21_H6,317416,477954,1
SM21_H7,317422,477993,1
SM21_H8,317379,477961,1
SM21_H9,317395,478013,1
SM21_H10,317342,477973,1
SM21_H11,317342,478028,1
SM21_H14,317328,478086,1
SM21_H15,317270,478101,1
SM21_H16,317262,478044,1
SM21_H17,317149,478058,1
SM21_H18,317183,478137,1
SM21_H19,317103,478075,1
SM21_H20,317123,478124,1
SM21_H21,317064,478143,1
SM21_H22,317080,478011,1
SM21_H23,317160,477982,1
SM21_H24,317217,477962,1
